Year,State,Winner
1976,Alabama,"Carter, Jimmy"
1976,Alaska,"Ford, Gerald"
1976,Arizona,"Ford, Gerald"
1976,Arkansas,"Carter, Jimmy"
1976,California,"Ford, Gerald"
1976,Colorado,"Ford, Gerald"
1976,Connecticut,"Ford, Gerald"
1976,Delaware,"Carter, Jimmy"
1976,District of Columbia,"Carter, Jimmy"
1976,Florida,"Carter, Jimmy"
1976,Georgia,"Carter, Jimmy"
1976,Hawaii,"Carter, Jimmy"
1976,Idaho,"Ford, Gerald"
1976,Illinois,"Ford, Gerald"
1976,Indiana,"Ford, Gerald"
1976,Iowa,"Ford, Gerald"
1976,Kansas,"Ford, Gerald"
1976,Kentucky,"Carter, Jimmy"
1976,Louisiana,"Carter, Jimmy"
1976,Maine,"Ford, Gerald"
1976,Maryland,"Carter, Jimmy"
1976,Massachusetts,"Carter, Jimmy"
1976,Michigan,"Ford, Gerald"
1976,Minnesota,"Carter, Jimmy"
1976,Mississippi,"Carter, Jimmy"
1976,Missouri,"Carter, Jimmy"
1976,Montana,"Ford, Gerald"
1976,Nebraska,"Ford, Gerald"
1976,Nevada,"Ford, Gerald"
1976,New Hampshire,"Ford, Gerald"
1976,New Jersey,"Ford, Gerald"
1976,New Mexico,"Ford, Gerald"
1976,New York,"Carter, Jimmy"
1976,North Carolina,"Carter, Jimmy"
1976,North Dakota,"Ford, Gerald"
1976,Ohio,"Carter, Jimmy"
1976,Oklahoma,"Ford, Gerald"
1976,Oregon,"Ford, Gerald"
1976,Pennsylvania,"Carter, Jimmy"
1976,Rhode Island,"Carter, Jimmy"
1976,South Carolina,"Carter, Jimmy"
1976,South Dakota,"Ford, Gerald"
1976,Tennessee,"Carter, Jimmy"
1976,Texas,"Carter, Jimmy"
1976,Utah,"Ford, Gerald"
1976,Vermont,"Ford, Gerald"
1976,Virginia,"Ford, Gerald"
1976,Washington,"Ford, Gerald"
1976,West Virginia,"Carter, Jimmy"
1976,Wisconsin,"Carter, Jimmy"
1976,Wyoming,"Ford, Gerald"
1980,Alabama,"Reagan, Ronald"
1980,Alaska,"Reagan, Ronald"
1980,Arizona,"Reagan, Ronald"
1980,Arkansas,"Reagan, Ronald"
1980,California,"Reagan, Ronald"
1980,Colorado,"Reagan, Ronald"
1980,Connecticut,"Reagan, Ronald"
1980,Delaware,"Reagan, Ronald"
