State,Year,Pop
Alabama,2010,4779736
Alabama,2011,4799069
Alabama,2012,4815588
Alabama,2013,4830081
Alabama,2014,4841799
Alabama,2015,4852347
Alabama,2016,4863525
Alabama,2017,4874486
Alabama,2018,4887681
Alabama,2019,4903185
Alabama,1910,2138093
Alabama,1920,2348174
Alabama,1930,2646248
Alabama,1940,2832961
Alabama,1950,3061743
Alabama,1960,3266740
Alabama,1970,3444165
Alabama,1980,3893888
Alabama,1990,4040587
Alabama,2000,4447100
Alaska,2010,710231
Alaska,2011,722128
Alaska,2012,730443
Alaska,2013,737068
Alaska,2014,736283
Alaska,2015,737498
Alaska,2016,741456
Alaska,2017,739700
Alaska,2018,735139
Alaska,2019,731545
Alaska,1910,64356
Alaska,1920,55036
Alaska,1930,59278
Alaska,1940,72524
Alaska,1950,128643
Alaska,1960,226167
Alaska,1970,300382
Alaska,1980,401851
Alaska,1990,550043
Alaska,2000,626932
Arizona,2010,6392017
Arizona,2011,6472643
Arizona,2012,6554978
Arizona,2013,6632764
Arizona,2014,6730413
Arizona,2015,6829676
Arizona,2016,6941072
Arizona,2017,7044008
Arizona,2018,7158024
Arizona,2019,7278717
Arizona,1910,204354
Arizona,1920,334162
Arizona,1930,435573
Arizona,1940,499261
Arizona,1950,749587
Arizona,1960,1302161
Arizona,1970,1770900
Arizona,1980,2718215
Arizona,1990,3665228
Arizona,2000,5130632
Arkansas,2010,2915918
Arkansas,2011,2940667
Arkansas,2012,2952164
Arkansas,2013,2959400
Arkansas,2014,2967392
Arkansas,2015,2978048
Arkansas,2016,2989918
Arkansas,2017,3001345
Arkansas,2018,3009733
Arkansas,2019,3017804
Arkansas,1910,1574449
Arkansas,1920,1752204
Arkansas,1930,1854482
Arkansas,1940,1949387
Arkansas,1950,1909511
Arkansas,1960,1786272
Arkansas,1970,1923295
Arkansas,1980,2286435
Arkansas,1990,2350725
Arkansas,2000,2673400
California,2010,37253956
California,2011,37638369
California,2012,37948800
California,2013,38260787
California,2014,38596972
California,2015,38918045
California,2016,39167117
California,2017,39358497
California,2018,39461588
California,2019,39512223
California,1910,2377549
California,1920,3426861
California,1930,5677251
California,1940,6907387
California,1950,10586223
California,1960,15717204
California,1970,19953134
California,1980,23667902
California,1990,29760021
California,2000,33871648
Colorado,2010,5029196
Colorado,2011,5121108
Colorado,2012,5192647
Colorado,2013,5269035
Colorado,2014,5350101
Colorado,2015,5450623
Colorado,2016,5539215
Colorado,2017,5611885
Colorado,2018,5691287
Colorado,2019,5758736
Colorado,1910,799024
Colorado,1920,939629
Colorado,1930,1035791
Colorado,1940,1123296
Colorado,1950,1325089
Colorado,1960,1753947
Colorado,1970,2207259
Colorado,1980,2889964
Colorado,1990,3294394
Colorado,2000,4301261
Connecticut,2010,3574097
Connecticut,2011,3588283
Connecticut,2012,3594547
Connecticut,2013,3594841
Connecticut,2014,3594524
Connecticut,2015,3587122
Connecticut,2016,3578141
Connecticut,2017,3573297
Connecticut,2018,3571520
Connecticut,2019,3565287
Connecticut,1910,1114756
Connecticut,1920,1380631
Connecticut,1930,1606903
Connecticut,1940,1709242
Connecticut,1950,2007280
Connecticut,1960,2535234
Connecticut,1970,3031709
Connecticut,1980,3107576
Connecticut,1990,3287116
Connecticut,2000,3405565
Delaware,2010,897934
Delaware,2011,907381
Delaware,2012,915179
Delaware,2013,923576
Delaware,2014,932487
Delaware,2015,941252
Delaware,2016,948921
Delaware,2017,956823
Delaware,2018,965479
Delaware,2019,973764
Delaware,1910,202322
Delaware,1920,223003
Delaware,1930,238380
Delaware,1940,266505
Delaware,1950,318085
Delaware,1960,446292
Delaware,1970,548104
Delaware,1980,594338
Delaware,1990,666168
Delaware,2000,783600
District of Columbia,2010,601723
District of Columbia,2011,619800
District of Columbia,2012,634924
District of Columbia,2013,650581
District of Columbia,2014,662328
District of Columbia,2015,675400
District of Columbia,2016,685815
District of Columbia,2017,694906
District of Columbia,2018,701547
District of Columbia,2019,705749
District of Columbia,1910,331069
District of Columbia,1920,437571
District of Columbia,1930,486869
District of Columbia,1940,663091
District of Columbia,1950,802178
District of Columbia,1960,763956
District of Columbia,1970,756510
District of Columbia,1980,638333
District of Columbia,1990,606900
District of Columbia,2000,572059
Florida,2010,18801310
Florida,2011,19053237
Florida,2012,19297822
Florida,2013,19545621
Florida,2014,19845911
Florida,2015,20209042
Florida,2016,20613477
Florida,2017,20963613
Florida,2018,21244317
Florida,2019,21477737
Florida,1910,752619
Florida,1920,968470
Florida,1930,1468211
Florida,1940,1897414
Florida,1950,2771305
Florida,1960,4951560
Florida,1970,6789443
Florida,1980,9746324
Florida,1990,12937926
Florida,2000,15982378
Georgia,2010,9687653
Georgia,2011,9802431
Georgia,2012,9901430
Georgia,2013,9972479
Georgia,2014,10067278
Georgia,2015,10178447
Georgia,2016,10301890
Georgia,2017,10410330
Georgia,2018,10511131
Georgia,2019,10617423
Georgia,1910,2609121
Georgia,1920,2895832
Georgia,1930,2908506
Georgia,1940,3123723
Georgia,1950,3444578
Georgia,1960,3943116
Georgia,1970,4589575
Georgia,1980,5463105
Georgia,1990,6478216
Georgia,2000,8186453
Hawaii,2010,1360301
Hawaii,2011,1379329
Hawaii,2012,1394804
Hawaii,2013,1408243
Hawaii,2014,1414538
Hawaii,2015,1422052
Hawaii,2016,1427559
Hawaii,2017,1424393
Hawaii,2018,1420593
Hawaii,2019,1415872
Hawaii,1910,191909
Hawaii,1920,255912
Hawaii,1930,368336
Hawaii,1940,423330
Hawaii,1950,499794
Hawaii,1960,632772
Hawaii,1970,768561
Hawaii,1980,964691
Hawaii,1990,1108229
Hawaii,2000,1211537
Idaho,2010,1567582
Idaho,2011,1583910
Idaho,2012,1595324
Idaho,2013,1611206
Idaho,2014,1631112
Idaho,2015,1651059
Idaho,2016,1682380
Idaho,2017,1717715
Idaho,2018,1750536
Idaho,2019,1787065
Idaho,1910,325594
Idaho,1920,431866
Idaho,1930,445032
Idaho,1940,524873
Idaho,1950,588637
Idaho,1960,667191
Idaho,1970,712567
Idaho,1980,943935
Idaho,1990,1006749
Idaho,2000,1293953
Illinois,2010,12830632
Illinois,2011,12867454
Illinois,2012,12882510
Illinois,2013,12895129
Illinois,2014,12884493
Illinois,2015,12858913
Illinois,2016,12820527
Illinois,2017,12778828
Illinois,2018,12723071
Illinois,2019,12671821
Illinois,1910,5638591
Illinois,1920,6485280
Illinois,1930,7630654
Illinois,1940,7897241
Illinois,1950,8712176
Illinois,1960,10081158
Illinois,1970,11113976
Illinois,1980,11426518
Illinois,1990,11430602
Illinois,2000,12419293
Indiana,2010,6483802
Indiana,2011,6516528
Indiana,2012,6537703
Indiana,2013,6568713
Indiana,2014,6593644
Indiana,2015,6608422
Indiana,2016,6634304
Indiana,2017,6658078
Indiana,2018,6695497
Indiana,2019,6732219
Indiana,1910,2700876
Indiana,1920,2930390
Indiana,1930,3238503
Indiana,1940,3427796
Indiana,1950,3934224
Indiana,1960,4662498
Indiana,1970,5193669
Indiana,1980,5490224
Indiana,1990,5544159
Indiana,2000,6080485
Iowa,2010,3046355
Iowa,2011,3066336
Iowa,2012,3076190
Iowa,2013,3092997
Iowa,2014,3109350
Iowa,2015,3120960
Iowa,2016,3131371
Iowa,2017,3141550
Iowa,2018,3148618
Iowa,2019,3155070
Iowa,1910,2224771
Iowa,1920,2404021
Iowa,1930,2470939
Iowa,1940,2538268
Iowa,1950,2621073
Iowa,1960,2757537
Iowa,1970,2824376
Iowa,1980,2913808
Iowa,1990,2776755
Iowa,2000,2926324
Kansas,2010,2853118
Kansas,2011,2869225
Kansas,2012,2885257
Kansas,2013,2893212
Kansas,2014,2900475
Kansas,2015,2909011
Kansas,2016,2910844
Kansas,2017,2908718
Kansas,2018,2911359
Kansas,2019,2913314
Kansas,1910,1690949
Kansas,1920,1769257
Kansas,1930,1880999
Kansas,1940,1801028
Kansas,1950,1905299
Kansas,1960,2178611
Kansas,1970,2246578
Kansas,1980,2363679
Kansas,1990,2477574
Kansas,2000,2688418
Kentucky,2010,4339367
Kentucky,2011,4369821
Kentucky,2012,4386346
Kentucky,2013,4404659
Kentucky,2014,4414349
Kentucky,2015,4425976
Kentucky,2016,4438182
Kentucky,2017,4452268
Kentucky,2018,4461153
Kentucky,2019,4467673
Kentucky,1910,2289905
Kentucky,1920,2416630
Kentucky,1930,2614589
Kentucky,1940,2845627
Kentucky,1950,2944806
Kentucky,1960,3038156
Kentucky,1970,3218706
Kentucky,1980,3660777
Kentucky,1990,3685296
Kentucky,2000,4041769
Louisiana,2010,4533372
Louisiana,2011,4575625
Louisiana,2012,4600972
Louisiana,2013,4624527
Louisiana,2014,4644013
Louisiana,2015,4664628
Louisiana,2016,4678135
Louisiana,2017,4670560
Louisiana,2018,4659690
Louisiana,2019,4648794
Louisiana,1910,1656388
Louisiana,1920,1798509
Louisiana,1930,2101593
Louisiana,1940,2363880
Louisiana,1950,2683516
Louisiana,1960,3257022
Louisiana,1970,3641306
Louisiana,1980,4205900
Louisiana,1990,4219973
Louisiana,2000,4468976
Maine,2010,1328361
Maine,2011,1328284
Maine,2012,1327729
Maine,2013,1328009
Maine,2014,1330513
Maine,2015,1328262
Maine,2016,1331317
Maine,2017,1334612
Maine,2018,1339057
Maine,2019,1344212
Maine,1910,742371
Maine,1920,768014
Maine,1930,797423
Maine,1940,847226
Maine,1950,913774
Maine,1960,969265
Maine,1970,992048
Maine,1980,1124660
Maine,1990,1227928
Maine,2000,1274923
Maryland,2010,5773552
Maryland,2011,5839419
Maryland,2012,5886992
Maryland,2013,5923188
Maryland,2014,5957283
Maryland,2015,5985562
Maryland,2016,6003323
Maryland,2017,6023868
Maryland,2018,6035802
Maryland,2019,6045680
Maryland,1910,1295346
Maryland,1920,1449661
Maryland,1930,1631526
Maryland,1940,1821244
Maryland,1950,2343001
Maryland,1960,3100689
Maryland,1970,3922399
Maryland,1980,4216975
Maryland,1990,4781468
Maryland,2000,5296486
Massachusetts,2010,6547629
Massachusetts,2011,6613583
Massachusetts,2012,6663005
Massachusetts,2013,6713315
Massachusetts,2014,6762596
Massachusetts,2015,6794228
Massachusetts,2016,6823608
Massachusetts,2017,6859789
Massachusetts,2018,6882635
Massachusetts,2019,6892503
Massachusetts,1910,3366416
Massachusetts,1920,3852356
Massachusetts,1930,4249614
Massachusetts,1940,4316721
Massachusetts,1950,4690514
Massachusetts,1960,5148578
Massachusetts,1970,5689170
Massachusetts,1980,5737037
Massachusetts,1990,6016425
Massachusetts,2000,6349097
Michigan,2010,9883640
Michigan,2011,9882412
Michigan,2012,9897145
Michigan,2013,9913065
Michigan,2014,9929848
Michigan,2015,9931715
Michigan,2016,9950571
Michigan,2017,9973114
Michigan,2018,9984072
Michigan,2019,9986857
Michigan,1910,2810173
Michigan,1920,3668412
Michigan,1930,4842325
Michigan,1940,5256106
Michigan,1950,6371766
Michigan,1960,7823194
Michigan,1970,8875083
Michigan,1980,9262078
Michigan,1990,9295297
Michigan,2000,9938444
Minnesota,2010,5303925
Minnesota,2011,5346143
Minnesota,2012,5376643
Minnesota,2013,5413479
Minnesota,2014,5451079
Minnesota,2015,5482032
Minnesota,2016,5522744
Minnesota,2017,5566230
Minnesota,2018,5606249
Minnesota,2019,5639632
Minnesota,1910,2075708
Minnesota,1920,2387125
Minnesota,1930,2563953
Minnesota,1940,2792300
Minnesota,1950,2982483
Minnesota,1960,3413864
Minnesota,1970,3804971
Minnesota,1980,4075970
Minnesota,1990,4375099
Minnesota,2000,4919479
Mississippi,2010,2967297
Mississippi,2011,2978731
Mississippi,2012,2983816
Mississippi,2013,2988711
Mississippi,2014,2990468
Mississippi,2015,2988471
Mississippi,2016,2987938
Mississippi,2017,2988510
Mississippi,2018,2981020
Mississippi,2019,2976149
Mississippi,1910,1797114
Mississippi,1920,1790618
Mississippi,1930,2009821
Mississippi,1940,2183796
Mississippi,1950,2178914
Mississippi,1960,2178141
Mississippi,1970,2216912
Mississippi,1980,2520638
Mississippi,1990,2573216
Mississippi,2000,2844658
Missouri,2010,5988927
